Data,EUR_PLN
2020-01-02,4.2571
2020-01-03,4.2569
2020-01-07,4.2347
2020-01-08,4.2465
2020-01-09,4.2459
2020-01-10,4.2467
2020-01-13,4.2353
2020-01-14,4.2323
2020-01-15,4.2279
2020-01-16,4.2348
2020-01-17,4.2344
2020-01-20,4.2447
2020-01-21,4.2459
2020-01-22,4.237
2020-01-23,4.2463
2020-01-24,4.2461
2020-01-27,4.2679
2020-01-28,4.2794
2020-01-29,4.2766
2020-01-30,4.2813
2020-01-31,4.301
2020-02-03,4.3034
2020-02-04,4.2867
2020-02-05,4.262
2020-02-06,4.2535
2020-02-07,4.2664
2020-02-10,4.2699
2020-02-11,4.2609
2020-02-12,4.2599
2020-02-13,4.2557
2020-02-14,4.2402
2020-02-17,4.2502
2020-02-18,4.2714
2020-02-19,4.2732
2020-02-20,4.2789
2020-02-21,4.2831
2020-02-24,4.3017
2020-02-25,4.2996
2020-02-26,4.3093
2020-02-27,4.31
2020-02-28,4.3355
2020-03-02,4.3237
2020-03-03,4.3173
2020-03-04,4.2993
2020-03-05,4.2994
2020-03-06,4.3178
2020-03-09,4.3176
2020-03-10,4.32
2020-03-11,4.3167
2020-03-12,4.3451
2020-03-13,4.3618
2020-03-16,4.3911
2020-03-17,4.4886
2020-03-18,4.4806
2020-03-19,4.5917
2020-03-20,4.5459
2020-03-23,4.5571
2020-03-24,4.6044
2020-03-25,4.5779
2020-03-26,4.5962
2020-03-27,4.5246
2020-03-30,4.5395
2020-03-31,4.5523
2020-04-01,4.5694
2020-04-02,4.5769
2020-04-03,4.5792
2020-04-06,4.5612
2020-04-07,4.5342
2020-04-08,4.5362
2020-04-09,4.537
2020-04-10,4.5484
2020-04-14,4.5512
2020-04-15,4.5389
2020-04-16,4.5326
2020-04-17,4.5367
2020-04-20,4.5175
2020-04-21,4.5276
2020-04-22,4.5329
2020-04-23,4.5444
2020-04-24,4.533
2020-04-27,4.524
2020-04-28,4.5399
2020-04-29,4.5432
2020-04-30,4.5424
2020-05-04,4.5582
2020-05-05,4.5476
2020-05-06,4.539
2020-05-07,4.5505
2020-05-08,4.5577
2020-05-11,4.5572
2020-05-12,4.5549
2020-05-13,4.5661
2020-05-14,4.5693
2020-05-15,4.5552
2020-05-18,4.5644
2020-05-19,4.561
